cpf,transaction_description,transaction_date,points_value,monetary_value,status
10.691.441-75,Pagamento fatura,2023-04-19,320,659.98,approved
2.282.815-89,Compra vestuario,2024-06-30,99,382.49,approved
10.029.879-89,Compra combustivel,2023-04-12,108,556.93,approved
13.993.790-96,Estorno parcial,2023-09-03,340,53.21,rejected
22.954.770-48,Recarga celular,2024-04-14,318,563.54,approved
8.906.137-15,Compra supermercado,2024-05-16,377,524.69,approved
10.783.757-11,Compra restaurante,2025-02-02,380,114.78,pending
16.562.854-97,Bonus indicacao,2024-01-17,352,222.58,pending
17.139.840-78,Cashback compra,2024-12-29,290,597.77,pending
7.363.366-94,Transferencia PIX,2024-02-19,368,74.79,pending
8.710.994-89,Pagamento boleto,2023-04-12,274,524.55,rejected
14.257.438-64,Pagamento fatura,2025-02-13,164,62.80,rejected
10.452.075-03,Cashback compra,2024-12-22,380,410.86,approved
17.059.964-26,Estorno parcial,2025-02-21,424,179.21,approved
12.019.450-59,Transferencia PIX,2023-10-11,173,581.81,pending
5.139.798-61,Compra supermercado,2023-05-03,331,533.07,approved
11.961.476-65,Compra supermercado,2024-01-02,157,125.82,approved
9.600.457-65,Compra farmacia,2023-04-12,102,215.79,rejected
17.892.271-16,Pagamento boleto,2024-08-21,415,134.97,approved
11.990.515-78,Pagamento servico,2025-03-17,215,405.28,pending
9.844.777-67,Compra online,2023-08-13,378,779.95,approved
21.304.726-30,Compra vestuario,2024-04-16,294,227.57,pending
9.748.199-63,Compra farmacia,2023-11-08,331,157.62,approved
20.668.502-10,Pagamento boleto,2023-11-04,381,410.88,pending
14.667.086-97,Compra farmacia,2023-03-25,394,317.24,approved
6.190.780-75,Pagamento fatura,2024-03-16,45,769.81,pending
13.354.669-21,Compra vestuario,2024-02-03,88,204.19,approved
17.202.693-35,Compra online,2023-02-02,471,782.63,approved
10.959.318-10,Recarga celular,2023-02-01,100,649.86,approved
19.370.860-30,Transferencia PIX,2023-04-07,182,790.01,approved
13.050.509-28,Compra combustivel,2024-07-08,11,227.56,approved
13.124.722-32,Bonus indicacao,2023-02-08,137,5.45,pending
12.242.655-83,Transferencia PIX,2024-09-30,73,46.69,approved
19.164.885-20,Compra vestuario,2023-08-17,304,25.16,rejected
14.268.394-20,Pagamento boleto,2023-12-17,405,38.33,pending
10.739.266-27,Pagamento boleto,2023-09-05,281,637.31,approved
12.937.393-18,Cashback compra,2024-09-02,133,161.12,rejected
7.275.440-69,Estorno parcial,2023-07-14,425,530.18,approved
19.319.102-65,Compra vestuario,2023-08-11,192,123.24,rejected
18.804.177-35,Pagamento fatura,2024-11-10,466,558.96,approved
18.606.438-26,Compra combustivel,2025-02-05,491,357.27,pending
14.154.676-55,Bonus indicacao,2024-10-03,256,688.68,approved
13.380.477-39,Pagamento boleto,2023-01-13,48,51.24,pending
9.334.833-59,Compra farmacia,2023-09-18,412,176.96,approved
13.162.396-66,Pagamento fatura,2023-09-20,451,50.48,pending
20.620.094-76,Cashback compra,2025-01-07,180,288.97,pending
13.975.947-22,Transferencia PIX,2024-02-22,270,279.99,approved
21.713.056-88,Assinatura streaming,2023-08-20,444,61.25,rejected
15.067.517-53,Recarga celular,2023-12-26,91,642.36,pending
11.940.416-68,Compra combustivel,2024-05-27,499,516.93,rejected
13.471.493-03,Pagamento boleto,2023-11-05,467,671.39,approved
10.339.783-39,Pagamento fatura,2024-03-13,196,129.35,pending
8.487.908-93,Compra online,2025-03-08,174,200.60,pending
5.636.013-81,Recarga celular,2024-10-12,190,20.99,approved
19.850.940-63,Compra online,2023-12-19,375,553.99,approved
8.784.671-44,Bonus indicacao,2024-11-09,91,109.66,approved
6.879.269-30,Pagamento fatura,2024-02-06,196,373.85,pending
10.486.067-38,Recarga celular,2023-07-14,456,69.98,rejected
8.774.804-14,Compra farmacia,2024-12-31,197,586.69,approved
11.745.671-24,Transferencia PIX,2024-09-02,458,474.68,rejected
20.584.134-15,Pagamento fatura,2025-01-09,264,339.25,pending
10.031.096-54,Cashback compra,2023-08-14,444,598.53,approved
18.888.703-93,Estorno parcial,2023-10-02,140,369.71,rejected
9.548.258-66,Bonus indicacao,2025-03-12,223,272.13,pending
12.969.834-09,Pagamento servico,2025-03-27,492,730.19,approved
8.613.832-53,Pagamento boleto,2023-02-26,460,393.19,pending
9.436.776-26,Compra restaurante,2024-10-18,420,299.29,approved
11.989.762-24,Pagamento boleto,2024-06-28,268,644.11,approved
16.266.339-62,Estorno parcial,2024-08-02,496,764.15,approved
12.728.331-78,Assinatura streaming,2023-03-13,55,672.87,pending
9.305.802-65,Assinatura streaming,2023-04-06,370,775.04,rejected
20.938.018-68,Compra combustivel,2024-02-01,30,356.23,rejected
12.375.595-93,Recarga celular,2023-05-31,304,86.34,approved
11.495.040-40,Pagamento boleto,2023-05-01,55,248.02,approved
10.556.768-69,Compra vestuario,2023-12-03,225,555.50,pending
9.832.048-21,Compra vestuario,2023-06-23,208,507.06,pending
13.540.319-16,Cashback compra,2024-03-08,230,273.43,pending
18.170.857-95,Compra restaurante,2024-09-30,489,345.46,approved
12.040.679-53,Recarga celular,2024-02-29,375,429.11,approved
12.410.647-78,Compra combustivel,2023-06-11,194,737.57,pending
21.529.033-30,Pagamento fatura,2024-10-04,28,794.92,pending
15.125.567-15,Compra online,2023-05-06,472,611.03,approved
19.564.536-43,Cashback compra,2024-08-11,320,381.82,approved
21.425.226-91,Compra vestuario,2024-08-31,308,708.29,pending
25.799.810-43,Compra vestuario,2025-01-19,64,295.54,approved
14.254.110-01,Bonus indicacao,2024-09-26,55,470.59,pending
20.066.828-98,Recarga celular,2023-06-19,361,343.22,approved
11.420.449-59,Compra combustivel,2023-05-01,387,631.49,pending
8.974.428-30,Estorno parcial,2024-03-30,189,551.26,pending
11.894.995-59,Compra online,2024-08-27,216,174.28,pending
11.459.806-66,Compra farmacia,2024-07-20,87,366.80,approved
13.228.654-85,Compra combustivel,2023-12-05,195,222.15,pending
23.433.964-67,Pagamento servico,2023-12-05,397,38.19,approved
13.282.967-19,Compra supermercado,2024-04-15,122,517.30,pending
16.226.669-96,Compra vestuario,2023-11-30,471,722.01,rejected
17.774.306-17,Pagamento fatura,2023-09-20,276,135.95,rejected
13.880.329-16,Bonus indicacao,2023-03-14,205,602.05,pending
14.291.092-66,Compra combustivel,2024-11-22,51,557.48,pending
11.509.649-32,Estorno parcial,2024-08-02,420,88.26,approved
14.511.778-66,Estorno parcial,2024-01-25,31,645.85,pending
11.761.598-40,Estorno parcial,2024-12-11,377,575.01,pending
18.209.392-01,Compra restaurante,2025-01-05,19,336.98,approved
4.852.458-38,Compra online,2025-01-17,345,622.38,approved
4.181.536-94,Compra farmacia,2024-08-11,385,645.77,pending
18.258.448-41,Pagamento boleto,2025-03-05,214,335.17,approved
16.438.995-29,Pagamento boleto,2024-09-19,58,400.55,pending
12.880.923-16,Cashback compra,2023-06-24,278,689.17,approved
17.094.377-24,Compra vestuario,2024-11-05,325,490.98,pending
12.835.942-59,Estorno parcial,2024-02-02,286,417.07,approved
14.959.291-50,Compra online,2025-04-08,96,537.21,pending
16.232.773-49,Compra supermercado,2023-01-14,131,372.70,approved
13.672.532-72,Bonus indicacao,2023-05-03,151,19.29,approved
20.954.656-68,Compra farmacia,2023-03-16,81,349.11,pending
15.498.884-92,Bonus indicacao,2024-04-21,305,665.56,pending
12.570.375-03,Transferencia PIX,2024-03-29,155,228.66,pending
15.482.760-11,Pagamento fatura,2024-12-03,331,190.79,pending
5.239.378-42,Bonus indicacao,2023-10-21,401,696.18,approved
13.226.648-00,Pagamento servico,2023-01-13,256,14.05,approved
12.371.806-52,Compra online,2023-09-04,367,307.94,pending
6.567.699-88,Cashback compra,2024-09-13,413,305.19,approved
12.361.945-56,Compra supermercado,2025-02-04,406,571.49,pending
10.900.468-06,Compra combustivel,2024-01-23,19,581.00,approved
21.970.527-42,Bonus indicacao,2023-10-15,128,32.47,pending
14.725.981-56,Estorno parcial,2024-04-15,395,445.40,pending
7.447.213-55,Compra vestuario,2023-12-02,191,521.52,approved
12.206.276-69,Pagamento boleto,2025-03-08,191,566.83,approved
21.551.650-93,Compra vestuario,2023-07-04,263,342.41,approved
17.552.965-97,Transferencia PIX,2023-11-22,85,702.09,approved
10.845.405-88,Compra online,2024-09-11,300,109.68,approved
11.035.525-15,Compra vestuario,2025-03-19,52,275.22,pending
15.422.717-57,Compra online,2023-12-15,299,551.03,approved
13.625.340-87,Pagamento servico,2024-09-05,225,567.51,approved
1.875.965-73,Compra supermercado,2023-12-19,208,247.04,approved
10.053.654-90,Transferencia PIX,2025-04-27,338,488.83,pending
23.809.712-66,Compra restaurante,2024-05-11,253,484.50,rejected
16.240.545-68,Bonus indicacao,2024-03-17,310,198.91,approved
19.935.098-87,Compra restaurante,2025-04-30,172,271.67,pending
12.766.246-95,Pagamento servico,2024-07-22,373,531.45,rejected
15.437.699-14,Pagamento servico,2023-11-14,486,539.60,approved
19.208.450-53,Pagamento servico,2023-09-07,279,383.21,pending
9.627.459-32,Pagamento servico,2023-05-30,204,602.64,approved
11.504.342-17,Pagamento fatura,2023-03-19,150,250.91,pending
8.712.944-83,Estorno parcial,2023-02-02,304,641.68,approved
11.206.835-12,Compra online,2024-09-18,94,541.94,approved
16.356.306-69,Pagamento fatura,2024-03-11,183,346.38,pending
18.253.085-80,Compra farmacia,2024-07-31,451,658.20,rejected
20.374.062-95,Bonus indicacao,2024-06-13,21,330.78,approved
14.518.198-73,Compra restaurante,2025-03-25,489,608.11,approved
16.331.624-58,Pagamento fatura,2024-05-06,386,535.49,approved
14.925.919-14,Estorno parcial,2023-10-26,144,332.89,approved
21.375.468-03,Assinatura streaming,2023-04-20,241,42.15,approved
19.632.963-26,Pagamento boleto,2025-03-13,53,490.52,approved
9.191.213-28,Cashback compra,2023-07-19,442,752.06,pending
18.403.946-22,Recarga celular,2024-01-16,74,290.25,approved
9.905.280-13,Compra combustivel,2025-01-16,362,404.77,approved
11.564.938-67,Recarga celular,2023-02-20,132,426.87,approved
16.821.478-88,Compra farmacia,2024-07-22,182,42.29,approved
6.377.929-67,Assinatura streaming,2023-01-12,399,330.02,rejected
22.160.279-75,Compra restaurante,2023-01-15,237,684.51,approved
5.696.317-46,Compra combustivel,2023-11-17,417,208.94,pending
3.790.358-21,Cashback compra,2024-11-10,481,112.13,rejected
11.379.731-46,Pagamento servico,2024-07-29,28,672.28,approved
12.724.197-46,Compra restaurante,2025-02-06,308,445.24,approved
17.444.296-18,Recarga celular,2023-01-12,455,538.95,approved
12.917.645-28,Pagamento boleto,2024-09-26,357,270.11,approved
12.853.681-44,Bonus indicacao,2023-01-19,401,178.50,approved
1.189.025-50,Transferencia PIX,2024-06-13,139,183.81,approved
13.501.300-67,Pagamento servico,2025-02-22,66,617.07,approved
14.742.313-72,Cashback compra,2024-05-09,399,144.21,approved
8.217.798-45,Compra combustivel,2023-12-07,417,359.59,pending
8.304.228-82,Transferencia PIX,2024-08-04,395,746.22,pending
16.314.341-16,Compra farmacia,2023-10-12,494,697.61,approved
8.515.105-82,Estorno parcial,2023-10-04,423,347.02,approved
18.627.051-59,Compra combustivel,2024-08-05,309,149.43,rejected
9.563.145-50,Compra online,2024-05-26,242,369.21,pending
8.308.957-10,Pagamento fatura,2023-10-30,316,195.64,approved
3.902.619-15,Compra restaurante,2024-09-30,297,506.12,approved
14.653.942-60,Compra supermercado,2023-04-18,100,485.21,rejected
13.858.714-14,Pagamento fatura,2024-04-09,27,79.89,pending
13.578.225-11,Transferencia PIX,2025-04-27,17,705.28,approved
10.763.400-02,Compra combustivel,2023-07-01,205,383.53,approved
10.219.236-57,Compra farmacia,2023-04-09,292,521.88,pending
0.366.645-47,Compra vestuario,2023-08-13,115,78.00,rejected
20.837.827-31,Compra restaurante,2025-02-09,274,713.24,pending
22.035.065-97,Compra restaurante,2023-02-23,15,355.11,approved
15.534.648-44,Recarga celular,2023-08-01,85,367.32,pending
12.011.275-45,Bonus indicacao,2023-02-13,93,314.05,rejected
17.953.763-76,Bonus indicacao,2024-12-10,120,48.90,approved
10.580.863-59,Pagamento servico,2024-12-26,265,140.01,rejected
16.162.868-18,Pagamento fatura,2024-06-23,273,134.19,approved
15.485.695-54,Compra farmacia,2025-04-19,296,518.34,rejected
16.613.959-25,Compra restaurante,2024-09-30,455,223.23,rejected
11.244.179-08,Estorno parcial,2023-08-27,247,23.38,pending
2.617.398-96,Pagamento fatura,2023-08-02,124,663.88,rejected
22.696.883-69,Pagamento boleto,2025-04-30,468,164.92,approved
13.561.077-73,Recarga celular,2023-05-16,163,196.84,rejected
18.617.904-70,Bonus indicacao,2023-01-29,125,425.27,approved
15.421.182-12,Recarga celular,2024-10-18,339,701.47,pending
20.889.689-55,Pagamento fatura,2024-05-21,350,388.05,pending
6.437.848-88,Compra supermercado,2025-04-29,32,521.72,approved
9.111.987-33,Compra farmacia,2024-02-10,394,357.79,pending
18.588.456-38,Bonus indicacao,2023-08-26,408,487.92,approved
10.344.273-94,Compra restaurante,2024-07-24,288,504.63,approved
10.922.185-57,Compra online,2023-05-27,281,36.85,approved
13.977.988-09,Compra supermercado,2023-02-09,188,304.99,pending
12.636.926-05,Assinatura streaming,2025-03-10,237,571.85,approved
18.079.238-00,Cashback compra,2024-02-23,122,425.40,approved
7.133.629-71,Pagamento servico,2024-07-24,435,702.28,approved
13.341.456-41,Bonus indicacao,2024-02-16,137,250.56,approved
18.830.973-34,Assinatura streaming,2024-06-28,209,169.05,approved
5.725.021-87,Compra supermercado,2023-10-25,475,175.71,rejected
25.210.723-70,Compra online,2023-11-10,209,642.40,rejected
17.018.341-66,Pagamento fatura,2024-03-14,277,676.62,approved
2.150.162-50,Bonus indicacao,2023-10-27,420,123.88,rejected
16.104.559-85,Compra online,2024-08-11,286,581.67,rejected
17.179.555-50,Compra farmacia,2023-11-25,382,277.71,approved
10.553.008-89,Pagamento boleto,2023-08-28,102,663.81,approved
7.010.440-03,Pagamento servico,2025-04-23,111,249.29,pending
5.342.745-49,Compra vestuario,2024-09-12,410,381.14,approved
20.617.260-49,Compra online,2024-04-17,353,277.82,approved
17.440.037-46,Estorno parcial,2024-01-19,492,798.79,pending
20.275.032-54,Pagamento servico,2023-07-09,447,389.05,approved
10.154.072-63,Compra farmacia,2024-10-29,291,218.67,approved
17.537.978-66,Pagamento servico,2023-11-19,131,230.98,pending
15.174.522-78,Compra vestuario,2023-01-06,276,352.25,rejected
8.929.976-06,Compra online,2024-01-20,26,393.82,approved
16.606.080-49,Compra combustivel,2024-11-29,253,770.56,pending
26.091.893-23,Compra vestuario,2024-09-24,20,197.65,approved
22.860.954-23,Transferencia PIX,2024-12-08,422,56.50,approved
10.716.034-03,Transferencia PIX,2025-02-20,310,658.96,rejected
16.407.599-66,Compra online,2023-04-28,43,40.48,pending
5.864.071-63,Bonus indicacao,2023-11-08,308,565.08,pending
12.740.765-86,Compra restaurante,2024-05-02,98,280.40,approved
19.126.091-95,Compra combustivel,2024-05-22,58,146.83,pending
17.699.790-10,Compra vestuario,2025-01-29,158,509.81,pending
15.751.319-32,Cashback compra,2023-05-10,197,226.21,approved
12.675.630-52,Estorno parcial,2024-10-18,359,770.95,approved
13.082.633-58,Pagamento fatura,2023-05-31,155,723.26,rejected
18.876.602-25,Compra restaurante,2025-02-13,203,279.14,rejected
16.233.554-71,Cashback compra,2024-12-22,363,290.04,rejected
10.885.024-39,Cashback compra,2024-05-15,225,295.71,approved
12.456.697-30,Pagamento fatura,2025-03-07,449,511.47,approved
11.125.059-94,Pagamento servico,2023-12-18,74,169.67,rejected
19.567.133-43,Pagamento boleto,2024-12-30,195,129.03,approved
12.007.647-63,Compra restaurante,2025-02-15,464,773.97,pending
22.257.411-45,Compra combustivel,2023-11-05,470,175.77,approved
19.281.995-02,Pagamento servico,2023-11-02,206,596.41,approved
17.150.936-55,Estorno parcial,2023-06-11,399,184.00,approved
12.128.657-79,Compra vestuario,2025-01-28,128,566.28,pending
4.321.940-34,Pagamento servico,2024-12-22,149,318.64,approved
3.247.226-80,Pagamento servico,2024-08-09,478,415.17,approved
10.151.356-64,Compra online,2025-01-22,399,426.28,rejected
7.583.135-62,Compra vestuario,2023-07-27,487,578.46,approved
2.483.351-97,Pagamento servico,2023-04-17,60,477.49,approved
5.270.344-78,Pagamento fatura,2023-07-03,143,81.18,pending
13.164.100-33,Assinatura streaming,2023-06-20,54,540.73,approved
21.826.900-54,Compra restaurante,2024-11-03,409,632.98,approved
20.374.634-96,Cashback compra,2024-09-20,259,59.81,approved
